9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.015,,,,1,0.02,0.017,0.022,0.02,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1167,6600,Niacin,Niacin,MG,0.231,,,0.011,17,0.253,0.23,0.27,0.255,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1010,1600,Sucrose,Sucrose,G,1.7,,,,1,1.17,0.69,1.61,1.22,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1011,1700,Glucose,Glucose (dextrose),G,2.6,,,,1,3.22,2.96,3.52,3.18,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1162,6300,"Vitamin C, total ascorbic acid","Vitamin C, total ascorbic acid",MG,28.3,,,,1,39.4,29,62.1,33.6,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1075,2100,Galactose,Galactose,G,0,,,,0,0,0,0,0,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1177,6900,"Folate, total","Folate, total",UG,10,,,0.509,3,12,8,15,14,3,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1007,1000,Ash,Ash,G,0.19,,,,1,0.29,0.11,0.35,0.3,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1092,5700,"Potassium, K","Potassium, K",MG,129,,,,1,141,127,160,142,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1091,5600,"Phosphorus, P","Phosphorus, P",MG,15,,,,1,17,16,19,17,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1063,1500,"Sugars, Total","Sugars, total",G,7.2,,,,0,7.72,,,,,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.13,,,,0,0.28,,,0.28,1,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1165,6400,Thiamin,Thiamin,MG,0.042,,,0.002,17,0.062,0.05,0.07,0.065,4,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1093,5800,"Sodium, Na","Sodium, Na",MG,3,,,,1,1,0,3,0,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1087,5300,"Calcium, Ca","Calcium, Ca",MG,14,,,,1,16,12,20,16,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1004,800,Total lipid (fat),Total lipid (fat),G,0.1,,,0,16,0.7,0.43,0.87,0.7,10,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1013,1900,Lactose,Lactose,G,0,,,,0,0,0,0,0,6,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1062,400,Energy,Energy,kJ,142,,,,0,157,,,,,4/1/2019
9123,9123,9,"Grapefruit juice, white, canned or bottled, unsweetened","Grapefruit juice, white, canned or bottled, unsweetened",1098,6000,"Copper, Cu","Copper, Cu",MG,0.031,,,,1,0.032,0.028,0.033,0.032,10,4/1/2019
