5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1093,5800,"Sodium, Na","Sodium, Na",MG,69,65,73,1.883,4,80.18,69.4,94.6,79.05,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1098,6000,"Copper, Cu","Copper, Cu",MG,0.107,0.081,0.125,0.01,4,0.07624,0.0634,0.086,0.0764,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1089,5400,"Iron, Fe","Iron, Fe",MG,1.17,1.1,1.26,0.033,4,1.087,0.972,1.33,1.045,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1087,5300,"Calcium, Ca","Calcium, Ca",MG,21,16,26,2.46,4,23.63,13,46.3,17.1,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1095,5900,"Zinc, Zn","Zinc, Zn",MG,2.53,2.48,2.61,0.029,4,2.95,2.43,3.37,3.03,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1004,800,Total lipid (fat),Total lipid (fat),G,8.34,6.93,10.08,0.27,11,9.591,7.75,14.58,8.74,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1092,5700,"Potassium, K","Potassium, K",MG,213,206,225,4.439,4,246.3,226.5,266,245.5,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1051,100,Water,Water,G,72.63,70.84,74.21,0.269,11,72.89,68.74,74.6,73.64,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1091,5600,"Phosphorus, P","Phosphorus, P",MG,193,181,201,4.602,4,162,147.5,174,162,8,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1003,600,Protein,Protein,G,18.73,17.4,20.43,0.292,11,17.34375,16.5625,18.1875,17.375,,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,0,,,,0,0,,,,,4/20/2023
5665,5665,5,"Turkey, ground, 93% lean/ 7% fat, raw","Ground turkey, 93% lean, 7% fat, raw",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,2.537,,,,0,2.59,1.95,3.78,2.59,8,4/20/2023
